absorbance [RU],column
0.786,kolumna1
0.7,kolumna2
0.576,kolumna3
0.462,kolumna4
0.392,kolumna5
0.311,kolumna6
0.836,kolumna7
0.738,kolumna8
0.629,kolumna9
0.511,kolumna10
0.312,kolumna11
0.32,kolumna12
0.733,kolumna1
0.697,kolumna2
0.588,kolumna3
0.52,kolumna4
0.36,kolumna5
0.302,kolumna6
0.805,kolumna7
0.696,kolumna8
0.621,kolumna9
0.551,kolumna10
0.298,kolumna11
0.295,kolumna12
0.422,kolumna1
0.388,kolumna2
0.388,kolumna3
0.37,kolumna4
0.431,kolumna5
0.402,kolumna6
0.395,kolumna7
0.389,kolumna8
0.6,kolumna9
0.466,kolumna10
0.534,kolumna11
0.513,kolumna12
0.455,kolumna1
0.361,kolumna2
0.379,kolumna3
0.367,kolumna4
0.452,kolumna5
0.39,kolumna6
0.388,kolumna7
0.386,kolumna8
0.582,kolumna9
0.531,kolumna10
0.54,kolumna11
0.48,kolumna12
0.422,kolumna1
0.412,kolumna2
0.468,kolumna3
0.396,kolumna4
0.746,kolumna5
0.595,kolumna6
0.683,kolumna7
0.59,kolumna8
0.676,kolumna9
0.637,kolumna10
0.644,kolumna11
0.575,kolumna12
0.353,kolumna1
0.383,kolumna2
0.415,kolumna3
0.359,kolumna4
0.7,kolumna5
0.537,kolumna6
0.648,kolumna7
0.484,kolumna8
0.622,kolumna9
0.558,kolumna10
0.545,kolumna11
0.496,kolumna12
0.849,kolumna1
0.717,kolumna2
0.887,kolumna3
0.772,kolumna4
0.762,kolumna5
0.723,kolumna6
0.786,kolumna7
0.769,kolumna8
0.296,kolumna9
0.288,kolumna10
0.28,kolumna11
0.286,kolumna12
0.803,kolumna1
0.519,kolumna2
0.771,kolumna3
0.685,kolumna4
0.718,kolumna5
0.694,kolumna6
0.755,kolumna7
0.731,kolumna8
0.239,kolumna9
0.226,kolumna10
0.227,kolumna11
0.218,kolumna12
