kolumna.RU,absorbancja
1,0.786
2,0.7
3,0.576
4,0.462
5,0.392
6,0.311
7,0.836
8,0.738
9,0.629
10,0.511
11,0.312
12,0.32
1,0.733
2,0.697
3,0.588
4,0.52
5,0.36
6,0.302
7,0.805
8,0.696
9,0.621
10,0.551
11,0.298
12,0.295
1,0.422
2,0.388
3,0.388
4,0.37
5,0.431
6,0.402
7,0.395
8,0.389
9,0.6
10,0.466
11,0.534
12,0.513
1,0.455
2,0.361
3,0.379
4,0.367
5,0.452
6,0.39
7,0.388
8,0.386
9,0.582
10,0.531
11,0.54
12,0.48
1,0.422
2,0.412
3,0.468
4,0.396
5,0.746
6,0.595
7,0.683
8,0.59
9,0.676
10,0.637
11,0.644
12,0.575
1,0.353
2,0.383
3,0.415
4,0.359
5,0.7
6,0.537
7,0.648
8,0.484
9,0.622
10,0.558
11,0.545
12,0.496
1,0.849
2,0.717
3,0.887
4,0.772
5,0.762
6,0.723
7,0.786
8,0.769
9,0.296
10,0.288
11,0.28
12,0.286
1,0.803
2,0.519
3,0.771
4,0.685
5,0.718
6,0.694
7,0.755
8,0.731
9,0.239
10,0.226
11,0.227
12,0.218
